50.230.6.8 - - [07/May/2023:03:50:02 +0900] "GET / HTTP/1.1" 301 - "-" "Elastic-Heartbeat/7.9.2 (windows; amd64; 2ab907f5ccecf9fd82fe37105082e89fd871f684; 2020-09-22 22:24:50 +0000 UTC)"
50.230.6.8 - - [07/May/2023:03:50:20 +0900] "GET / HTTP/1.1" 301 - "-" "Elastic-Heartbeat/7.10.0 (windows; amd64; 1428d58cf2ed945441fb2ed03961cafa9e4ad3eb; 2020-11-09 20:03:11 +0000 UTC)"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/recruit/entertainer.html HTTP/1.1" 200 7774 "https://search.yahoo.co.jp/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/css/ress.css HTTP/1.1" 200 2442 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/css/common.css HTTP/1.1" 200 3926 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/wp-includes/css/classic-themes.min.css?ver=1 HTTP/1.1" 200 189 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/css/slick.css HTTP/1.1" 200 1029 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/css/recruit.css?ver=1 HTTP/1.1" 200 1556 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/js/common.js HTTP/1.1" 200 751 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/images/logo.png HTTP/1.1" 200 13712 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
126.233.104.5 - - [07/May/2023:03:50:40 +0900] "GET /career/common/images/sitename.png HTTP/1.1" 200 36523 "https://recruit.usj.co.jp/career/recruit/entertainer.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.87.0"
